Site,Latitude,Longitude,Temperature,Precipitation
A,19.3765,-81.41685,25.5 °C,358 mm
B,19.38991353,-81.37068941,24.4 °C,458 mm
C,19.35652125,-81.37953437,28.7 °C,400 mm
D,19.31611063,-81.37885625,26.5 °C,470 mm
E,19.28098462,-81.39242615,24.6 °C,398 mm
F,19.29082,-81.380145,26.3 °C,410 mm
G,19.29253375,-81.36446375,24 °C,424 mm
H,19.27741563,-81.34063687,25.7 °C,366 mm
I,19.27772875,-81.2865075,20.2 °C,396 mm
J,19.27914313,-81.25184313,27.9 °C,488 mm
K,19.28667125,-81.2392575,25 °C,360 mm
L,19.35586563,-81.2749825,26.1 °C,336 mm
M,19.33908375,-81.19405625,25.7 °C,396 mm
N,19.31488438,-81.19141438,23.6 °C,504 mm
O,19.31815312,-81.16781188,26.9 °C,496 mm
P,19.34939529,-81.13229,26.2 °C,442 mm
Q,19.30160125,-81.11009125,23.6 °C,482 mm
R,19.32788636,-81.10322636,23.1 °C,486 mm
S,19.35105,-81.09888,27.8 °C,382 mm
