Site,Color_morph,Limb,Mass,Diameter,Height,SVL,Tail,Perch_type
A,Green,14.3,6.46,8,164,61.8,43.9,Other
A,Brown,12.3,5.82,18,151,57.1,42.2,Tree
A,Blue,10.5,4.29,36,130,49.1,25,Building
A,Brown,10.3,5.29,31,131,51.2,38.2,Tree
A,Brown,10.9,5.69,20,138,51.5,46.9,Shrub
A,Brown,10.4,5.84,25,137,45.3,59,Shrub
A,Green,11.1,5.91,7,138,49.7,47.6,Building
A,Brown,10,5.09,20,141,48,34.9,Tree
A,Brown,12.3,7.2,19,129,54.9,61,Tree
A,Brown,11.2,6.66,15,134,52.7,50.4,Tree
A,Blue,11,6.68,31,143,53.8,49.5,Shrub
A,Blue,12.1,5.67,35,150,50.8,51.7,Other
A,Green,11.7,7.28,10,145,56.5,80,Tree
A,Brown,10.6,6.55,19,133,49.9,56.6,Tree
A,Blue,10.8,6.02,30,148,50.1,57.9,Tree
A,Blue,11.4,5.72,32,134,50.7,48.8,Tree
A,Brown,10.8,5.64,24,143,52.5,33.7,Tree
A,Blue,10.1,5.4,27,133,48.2,45.7,Tree
A,Blue,10.6,5.53,36,134,46.1,50.3,Other
A,Blue,10.8,5.27,30,141,51.2,43.3,Tree
A,Brown,12.1,5.69,19,148,51.1,42.9,Tree
A,Brown,12.8,7.89,26,139,56,49.2,Tree
A,Blue,12.5,6.18,28,140,52.9,48.4,Tree
A,Brown,11.5,6.53,20,145,51.4,63.9,Tree
A,Blue,10.9,5.73,29,146,47,56.5,Other
A,Brown,12,6.18,26,143,54.6,54.7,Tree
B,Brown,13.7,7.57,23,162,67,73.8,Building
B,Green,14.4,7.75,8,174,68.8,65.4,Tree
B,Blue,13.8,7.61,35,163,63.5,69.7,Building
B,Green,15.2,8.27,14,188,67,50.6,Tree
B,Green,14.1,6.73,17,176,64.8,49,Tree
B,Blue,14.2,8.43,29,177,69.6,85.3,Tree
B,Green,14.3,13.3,9,179,68.3,74,Tree
B,Blue,14.4,7.71,33,182,65.5,59.6,Shrub
B,Brown,14.1,7.95,32,178,70.1,69,Tree
B,Green,13.7,7.6,6,176,67.6,66.9,Tree
B,Blue,15.8,7.79,32,184,68.8,56.3,Tree
B,Green,13.2,7.75,9,168,65.9,74.2,Tree
B,Green,14.5,7.78,18,169,65.1,63.5,Shrub
B,Brown,13.9,6.45,22,170,68.1,47.1,Tree
B,Green,14,8.29,10,173,65.3,66.4,Tree
B,Blue,13.2,6.56,34,175,65.2,58.6,Tree
B,Green,14.5,8.79,8,170,65.6,56.5,Tree
B,Blue,14.3,6.92,39,167,65.9,52.4,Other
B,Brown,14.3,6.77,21,184,65.1,55.1,Other
B,Brown,14.6,7.5,23,172,64.2,59.6,Tree
B,Green,13.4,7.25,6,168,65.2,61.2,Shrub
B,Brown,15.8,7.8,30,185,70.6,66.5,Tree
B,Brown,15.2,7.78,37,183,68.3,72.9,Other
B,Blue,14.5,7.73,31,183,67.5,62.8,Tree
B,Blue,15.9,7.74,34,194,71.5,68,Other
B,Brown,15.2,7.41,35,187,66.8,64.2,Tree
B,Brown,14.5,7.49,33,178,63.3,65.8,Shrub
B,Blue,14.1,8.98,39,168,69.7,93.2,Tree
B,Brown,14.7,7.41,25,184,68.6,45.6,Tree
B,Brown,13.6,7.42,24,172,63.8,56.1,Tree
B,Brown,15.1,7.07,25,176,66.8,63.2,Other
B,Brown,13.6,7.05,20,167,67,57,Tree
B,Brown,15.3,7.25,23,188,68.5,59.7,Tree
B,Green,14.1,5.49,8,180,69,34.6,Tree
B,Blue,15.5,7.7,31,180,68.2,60.5,Tree
B,Brown,13.2,6.99,34,171,63,61.9,Other
C,Blue,13.1,6.65,35,107,58.4,61.5,Tree
C,Brown,12.8,6.12,20,105,54.4,53,Tree
C,Green,11.3,7.12,11,99,55.1,63.6,Tree
C,Brown,11.5,6.4,24,97,54.7,55.6,Shrub
C,Brown,12.5,5.06,28,103,53.6,31.6,Tree
C,Blue,12.7,7.83,38,95,61.7,68.2,Other
C,Green,16,7.77,10,118,70.1,69.8,Tree
C,Blue,14.3,6.64,32,128,64.6,52.6,Tree
C,Brown,11.9,6.08,31,98,55.2,49.5,Tree
C,Green,11.5,7.34,7,109,55.9,78.4,Tree
C,Brown,12.3,5.64,23,90,60,38,Building
C,Brown,12.5,7.54,30,103,62.1,67.4,Tree
C,Brown,11.5,7.09,21,109,51.1,41.8,Tree
C,Brown,11.1,6.11,21,100,47.5,58.9,Tree
C,Green,11.2,5.53,8,98,55.3,45.1,Tree
C,Brown,15.1,7.47,23,109,68,58.9,Other
C,Blue,13.8,7.58,49,113,59.5,71.6,Tree
C,Brown,13.6,6.45,26,107,65.4,52.9,Other
C,Green,12.1,7.13,16,106,59.4,62.9,Tree
C,Green,13.8,7,10,117,64.9,59.9,Shrub
C,Brown,12.4,6.29,26,108,57.4,49.1,Tree
C,Blue,13.2,6.91,29,118,60.1,58.1,Tree
