Anole ID,Site,Color,Limb Length (mm),Mass (g),Perch Diameter (cm),Perch Height (cm),Snout-Vent Length (mm),Tail Length (mm)
1,A,Green,14.3,6.46,8.0,164.0,61.8,43.9
2,A,Brown,NA,6.83,27.0,139.0,54.3,67.3
3,A,Brown,12.3,5.82,18.0,151.0,57.1,42.2
4,A,Blue,10.5,4.29,36.0,130.0,49.1,25.0
5,A,Brown,10.3,5.29,31.0,131.0,51.2,38.2
6,A,Brown,10.9,5.69,20.0,138.0,51.5,46.9
7,A,Brown,10.4,5.84,25.0,137.0,45.3,59.0
8,A,Green,11.1,5.91,7.0,138.0,49.7,47.6
9,A,Brown,10.0,5.09,20.0,141.0,48.0,34.9
10,A,Brown,12.3,7.2,19.0,129.0,54.9,61.0
11,A,Blue,13.1,NA,27.0,147.0,56.7,66.9
12,A,Brown,11.2,6.66,15.0,134.0,52.7,50.4
13,A,Blue,11.0,6.68,31.0,143.0,53.8,49.5
14,A,Blue,12.1,5.67,35.0,150.0,50.8,51.7
15,A,Green,11.7,7.28,10.0,145.0,56.5,80.0
16,A,Brown,10.6,6.55,19.0,133.0,49.9,56.6
17,A,Blue,10.8,6.02,30.0,148.0,50.1,57.9
18,A,Blue,11.4,5.72,32.0,134.0,50.7,48.8
19,A,Brown,10.8,5.64,24.0,143.0,52.5,33.7
20,A,Blue,10.1,5.4,27.0,133.0,48.2,45.7
21,A,Blue,10.6,5.53,36.0,134.0,46.1,50.3
22,A,Blue,10.8,5.27,30.0,141.0,51.2,43.3
23,A,Brown,12.1,5.69,19.0,148.0,51.1,42.9
24,A,Brown,12.8,7.89,26.0,139.0,56.0,49.2
25,A,Blue,12.5,6.18,28.0,140.0,52.9,48.4
26,A,Brown,11.5,6.53,20.0,145.0,51.4,63.9
27,A,Blue,10.9,5.73,29.0,146.0,47.0,56.5
28,A,Brown,12.0,6.18,26.0,143.0,54.6,54.7
29,B,Brown,13.7,7.57,23.0,162.0,67.0,73.8
30,B,Green,14.4,7.75,8.0,174.0,68.8,65.4
31,B,Blue,13.8,7.61,35.0,163.0,63.5,69.7
32,B,Green,15.2,8.27,14.0,188.0,67.0,50.6
33,B,Green,14.1,6.73,17.0,176.0,64.8,49.0
34,B,Blue,14.2,8.43,29.0,177.0,69.6,85.3
35,B,Green,14.3,13.3,9.0,179.0,68.3,74.0
36,B,Blue,13.8,6.09,33.0,171.0,NA,40.3
37,B,Blue,14.4,7.71,33.0,182.0,65.5,59.6
38,B,Brown,14.1,7.95,32.0,178.0,70.1,69.0
39,B,Brown,15.8,NA,16.0,186.0,71.1,62.5
40,B,Green,13.7,7.6,6.0,176.0,67.6,66.9
41,B,Blue,15.8,7.79,32.0,184.0,68.8,56.3
42,B,Green,13.2,7.75,9.0,168.0,65.9,74.2
43,B,Green,14.5,7.78,18.0,169.0,65.1,63.5
44,B,Brown,NA,7.36,25.0,175.0,65.2,63.6
45,B,Brown,13.9,6.45,22.0,170.0,68.1,47.1
46,B,Green,14.0,8.29,10.0,173.0,65.3,66.4
47,B,Blue,13.2,6.56,34.0,175.0,65.2,58.6
48,B,Green,14.5,8.79,8.0,170.0,65.6,56.5
49,B,Blue,14.3,6.92,39.0,167.0,65.9,52.4
50,B,Brown,14.3,6.77,21.0,184.0,65.1,55.1
51,B,Brown,14.6,7.5,23.0,172.0,64.2,59.6
52,B,Green,13.4,7.25,6.0,168.0,65.2,61.2
53,B,Brown,15.8,7.8,30.0,185.0,70.6,66.5
54,B,Brown,15.2,7.78,37.0,183.0,68.3,72.9
55,B,Blue,14.5,7.73,31.0,183.0,67.5,62.8
56,B,Blue,15.9,7.74,34.0,194.0,71.5,68.0
57,B,Brown,15.2,7.41,35.0,187.0,66.8,64.2
58,B,Brown,14.5,7.49,33.0,178.0,63.3,65.8
59,B,Blue,14.1,8.98,39.0,168.0,69.7,93.2
60,B,Brown,14.7,7.41,25.0,184.0,68.6,45.6
61,B,Brown,13.6,7.42,24.0,172.0,63.8,56.1
62,B,Brown,15.1,7.07,25.0,176.0,66.8,63.2
63,B,Brown,13.6,7.05,20.0,167.0,67.0,57.0
64,B,Brown,15.3,7.25,23.0,188.0,68.5,59.7
65,B,Green,14.1,5.49,8.0,180.0,69.0,34.6
66,B,Blue,15.5,7.7,31.0,180.0,68.2,60.5
67,B,Brown,13.2,6.99,34.0,171.0,63.0,61.9
68,C,Blue,13.1,6.65,35.0,107.0,58.4,61.5
69,C,Brown,12.8,6.12,20.0,105.0,54.4,53.0
70,C,Green,11.3,7.12,11.0,99.0,55.1,63.6
71,C,Brown,11.5,6.4,24.0,97.0,54.7,55.6
72,C,Brown,12.5,5.06,28.0,103.0,53.6,31.6
73,C,Blue,12.7,7.83,38.0,95.0,61.7,68.2
74,C,Green,16.0,7.77,10.0,118.0,70.1,69.8
75,C,Blue,14.3,6.64,32.0,128.0,64.6,52.6
76,C,Brown,11.9,6.08,31.0,98.0,55.2,49.5
77,C,Green,11.5,7.34,7.0,109.0,55.9,78.4
78,C,Brown,12.3,5.64,23.0,90.0,60.0,38.0
79,C,Brown,12.5,7.54,30.0,103.0,62.1,67.4
80,C,Brown,11.5,7.09,21.0,109.0,51.1,41.8
81,C,Brown,11.1,6.11,21.0,100.0,47.5,58.9
82,C,Green,11.2,5.53,8.0,98.0,55.3,45.1
83,C,Brown,15.1,7.47,23.0,109.0,68.0,58.9
84,C,Blue,13.8,7.58,49.0,113.0,59.5,71.6
85,C,Brown,13.6,6.45,26.0,107.0,65.4,52.9
86,C,Green,12.1,7.13,16.0,106.0,59.4,62.9
87,C,Green,13.8,7.0,10.0,117.0,64.9,59.9
88,C,Brown,12.4,6.29,26.0,108.0,57.4,49.1
89,C,Blue,13.2,6.91,29.0,118.0,60.1,58.1
90,C,Brown,12.2,5.75,16.0,101.0,56.2,50.2
91,C,Green,11.6,7.11,14.0,103.0,55.4,64.9
92,C,Brown,12.7,7.24,25.0,106.0,59.3,59.3
93,C,Brown,13.2,6.96,26.0,100.0,56.9,56.2
94,C,Green,14.4,7.95,9.0,102.0,63.4,70.4
95,C,Blue,15.1,6.34,51.0,117.0,68.9,38.5
96,C,Brown,12.5,6.45,26.0,104.0,59.9,54.1
97,C,Green,12.8,6.36,4.0,116.0,57.7,59.1
98,C,Green,11.9,5.62,15.0,101.0,52.1,41.0
99,C,Blue,11.2,6.03,25.0,92.0,50.8,44.3
100,C,Blue,10.5,5.96,30.0,95.0,47.7,53.5
101,C,Green,12.5,7.08,21.0,100.0,56.5,41.0
102,C,Green,13.6,7.66,11.0,103.0,61.5,79.9
103,C,Brown,11.1,6.07,29.0,105.0,50.8,53.7
104,D,Blue,14.8,8.44,28.0,193.0,69.8,74.8
105,D,Green,15.8,7.71,11.0,213.0,72.3,61.0
106,D,Blue,16.5,8.35,38.0,212.0,72.4,82.7
107,D,Green,14.9,8.3,4.0,197.0,71.2,81.2
108,D,Green,16.6,7.44,4.0,217.0,75.1,70.1
109,D,Brown,15.6,8.02,19.0,212.0,69.3,52.6
110,D,Brown,16.2,8.35,22.0,207.0,70.9,53.9
111,D,Green,15.7,6.3,9.0,209.0,68.8,37.6
112,D,Green,13.8,6.39,15.0,191.0,68.7,46.0
113,D,Green,15.5,8.81,13.0,210.0,76.7,89.9
