Site,Color_morph,Limb,Mass,Diameter,Height,SVL,Tail,Perch_type
A,Blue,10.5,4.29,36,130,49.1,25,Building
A,Blue,11,6.68,31,143,53.8,49.5,Shrub
A,Blue,12.1,5.67,35,150,50.8,51.7,Other
A,Blue,10.8,6.02,30,148,50.1,57.9,Tree
A,Blue,11.4,5.72,32,134,50.7,48.8,Tree
A,Blue,10.1,5.4,27,133,48.2,45.7,Tree
A,Blue,10.6,5.53,36,134,46.1,50.3,Other
A,Blue,10.8,5.27,30,141,51.2,43.3,Tree
A,Blue,12.5,6.18,28,140,52.9,48.4,Tree
A,Blue,10.9,5.73,29,146,47,56.5,Other
B,Blue,13.8,7.61,35,163,63.5,69.7,Building
B,Blue,14.2,8.43,29,177,69.6,85.3,Tree
B,Blue,14.4,7.71,33,182,65.5,59.6,Shrub
B,Blue,15.8,7.79,32,184,68.8,56.3,Tree
B,Blue,13.2,6.56,34,175,65.2,58.6,Tree
B,Blue,14.3,6.92,39,167,65.9,52.4,Other
B,Blue,14.5,7.73,31,183,67.5,62.8,Tree
B,Blue,15.9,7.74,34,194,71.5,68,Other
B,Blue,14.1,8.98,39,168,69.7,93.2,Tree
B,Blue,15.5,7.7,31,180,68.2,60.5,Tree
C,Blue,13.1,6.65,35,107,58.4,61.5,Tree
C,Blue,12.7,7.83,38,95,61.7,68.2,Other
C,Blue,14.3,6.64,32,128,64.6,52.6,Tree
C,Blue,13.8,7.58,49,113,59.5,71.6,Tree
C,Blue,13.2,6.91,29,118,60.1,58.1,Tree
C,Blue,15.1,6.34,51,117,68.9,38.5,Building
C,Blue,11.2,6.03,25,92,50.8,44.3,Building
C,Blue,10.5,5.96,30,95,47.7,53.5,Tree
D,Blue,14.8,8.44,28,193,69.8,74.8,Tree
D,Green,15.8,7.71,11,213,72.3,61,Tree
D,Blue,16.5,8.35,38,212,72.4,82.7,Building
D,Green,14.9,8.3,4,197,71.2,81.2,Tree
D,Green,16.6,7.44,4,217,75.1,70.1,Other
D,Green,15.7,6.3,9,209,68.8,37.6,Shrub
D,Green,13.8,6.39,15,191,68.7,46,Tree
D,Green,15.5,8.81,13,210,76.7,89.9,Tree
D,Blue,15.8,6.92,30,210,72.3,49.6,Building
D,Green,16.7,8.61,8,236,78.1,63.3,Tree
D,Green,14.8,8.68,14,206,71.5,68.4,Tree
D,Blue,14.6,7.76,37,212,70.3,59.2,Tree
D,Green,15.2,6.89,5,203,66.7,58.2,Building
D,Green,15.7,7.98,12,216,71,70.4,Tree
D,Blue,15.2,7.85,35,206,70.8,74.3,Tree
D,Blue,15.6,7.89,38,214,74.5,66.7,Other
D,Green,15.9,7.99,6,201,72.4,66.5,Shrub
D,Blue,14.2,7.28,29,206,65.8,52.7,Tree
D,Blue,14.1,7.82,39,188,67.6,68.4,Other
E,Blue,11.5,7.09,35,189,53.5,56.3,Tree
E,Blue,11.3,5.81,29,194,51.5,49.2,Shrub
E,Green,11.8,6.23,10,195,51.4,56.7,Tree
E,Green,11.1,7.21,20,199,50.6,55.8,Building
E,Green,11,6.59,14,194,51.9,50.1,Tree
E,Blue,12.1,5.45,33,195,52.2,40.6,Tree
E,Blue,12.2,6.24,32,193,56.5,44.3,Other
E,Green,12.3,5.8,25,205,53.1,49.4,Other
E,Blue,11.7,5.8,34,196,49.7,21.1,Shrub
E,Green,11.1,5.63,21,193,54.2,45.9,Tree
E,Green,11.6,6.01,17,202,55.9,47.5,Tree
E,Green,13.1,6.93,10,213,56.3,67.1,Tree
E,Green,10.4,5.54,17,193,48.8,44.3,Tree
E,Green,12.4,6.95,8,205,52.9,61.6,Tree
E,Green,11.8,9.07,15,193,57.1,80.4,Tree
E,Blue,12.7,5.27,33,201,54.3,36.2,Other
E,Blue,13,6.68,35,204,56.5,48.1,Building
E,Blue,12.4,6.38,32,205,55.9,45.5,Other
E,Blue,11,6.98,25,194,54.4,70.2,Tree
E,Blue,12.5,6.8,23,200,55,52.7,Tree
E,Blue,11.8,5.97,33,188,51.7,40.9,Tree
E,Green,10.9,7.13,9,204,50,68.7,Tree
E,Green,10.8,6.15,16,198,49.3,37.2,Tree
E,Green,10,6.21,15,194,48.6,64.8,Tree
E,Green,11.7,6.29,11,191,54.7,56.1,Shrub
E,Blue,13.2,7.77,29,203,60.6,81.4,Tree
E,Green,11.6,6.27,12,195,49.8,53.6,Tree
E,Green,12.5,8.1,18,201,53.6,67.8,Building
E,Blue,11.7,5.45,20,198,52.3,42.5,Tree
E,Blue,11.5,5.47,35,186,54,38.6,Other
E,Green,11.9,5.66,15,196,55.4,47.7,Tree
E,Blue,12.7,7.66,31,192,57.2,68.3,Tree
E,Green,12.9,6.11,13,217,56.3,54.8,Tree
E,Green,12.3,7.15,4,208,55.5,74.7,Shrub
E,Green,11.1,7.2,14,186,54.2,62.7,Tree
E,Green,11,5.5,15,189,49.4,33.7,Shrub
F,Blue,13.2,5.82,26,164,57.6,51.1,Shrub
F,Blue,13.9,6.93,30,182,60.9,53.7,Tree
F,Blue,12.6,6.49,33,185,54.9,54.1,Other
F,Blue,13.3,7.41,30,170,59.7,48.7,Tree
F,Blue,10.1,5.68,25,152,50.4,48.7,Building
F,Blue,13.3,5.98,30,181,60,53.3,Tree
F,Green,12.5,6.04,17,174,55.8,48.3,Tree
F,Green,12.7,6.71,11,169,59.1,56.3,Tree
F,Green,12.6,6.55,6,168,57.5,55,Tree
F,Green,13.1,6.31,11,180,61.1,54,Building
F,Blue,14,8.37,40,178,61.6,61.6,Other
F,Blue,12.1,6.34,30,167,58.7,51.3,Tree
F,Blue,13.6,6.57,33,178,59,59.8,Tree
F,Green,12.5,7.25,17,182,59,57,Building
F,Green,12.7,7.17,17,171,56.7,59.2,Building
F,Blue,13,6.92,37,165,60.4,63.6,Tree
F,Blue,11.4,5.88,27,159,55.9,46.5,Tree
F,Blue,13.1,6.72,43,183,61.2,59.5,Tree
F,Green,13.3,7.47,12,180,60.5,45.6,Building
F,Green,12.3,6.96,13,165,58.3,40.2,Other
F,Blue,13.4,7.47,44,182,60.8,58.5,Tree
F,Blue,13.1,6.72,41,171,60.5,58.3,Tree
F,Blue,13.4,7.55,31,185,58.6,57.3,Tree
F,Blue,12.3,7.25,34,172,59.4,65,Tree
G,Blue,12,6.48,30,130,57.9,54.2,Other
G,Blue,14.2,6.93,37,141,69.2,53.7,Tree
G,Green,14.6,7.69,17,146,63,69.4,Building
G,Blue,15,8.36,41,152,65.6,42.9,Other
G,Blue,14,9.14,35,145,62.1,57.2,Other
