Time,Temperature,activ,beaver
1989-12-31T08:40:00Z,36.33,0,A
1989-12-31T08:50:00Z,36.34,0,A
1989-12-31T09:00:00Z,36.35,0,A
1989-12-31T09:10:00Z,36.42,0,A
1989-12-31T09:20:00Z,36.55,0,A
1989-12-31T09:30:00Z,36.69,0,A
1989-12-31T09:40:00Z,36.71,0,A
1989-12-31T09:50:00Z,36.75,0,A
1989-12-31T10:00:00Z,36.81,0,A
1989-12-31T10:10:00Z,36.88,0,A
1989-12-31T10:20:00Z,36.89,0,A
1989-12-31T10:30:00Z,36.91,0,A
1989-12-31T10:40:00Z,36.85,0,A
1989-12-31T10:50:00Z,36.89,0,A
1989-12-31T11:00:00Z,36.89,0,A
1989-12-31T11:10:00Z,36.67,0,A
1989-12-31T11:20:00Z,36.5,0,A
1989-12-31T11:30:00Z,36.74,0,A
1989-12-31T11:40:00Z,36.77,0,A
1989-12-31T11:50:00Z,36.76,0,A
1989-12-31T12:00:00Z,36.78,0,A
1989-12-31T12:10:00Z,36.82,0,A
1989-12-31T12:20:00Z,36.89,0,A
1989-12-31T12:30:00Z,36.99,0,A
1989-12-31T12:40:00Z,36.92,0,A
1989-12-31T12:50:00Z,36.99,0,A
1989-12-31T13:00:00Z,36.89,0,A
1989-12-31T13:10:00Z,36.94,0,A
1989-12-31T13:20:00Z,36.92,0,A
1989-12-31T13:30:00Z,36.97,0,A
1989-12-31T13:40:00Z,36.91,0,A
1989-12-31T13:50:00Z,36.79,0,A
1989-12-31T14:00:00Z,36.77,0,A
1989-12-31T14:10:00Z,36.69,0,A
1989-12-31T14:20:00Z,36.62,0,A
1989-12-31T14:30:00Z,36.54,0,A
1989-12-31T14:40:00Z,36.55,0,A
1989-12-31T14:50:00Z,36.67,0,A
1989-12-31T15:00:00Z,36.69,0,A
1989-12-31T15:10:00Z,36.62,0,A
1989-12-31T15:20:00Z,36.64,0,A
1989-12-31T15:30:00Z,36.59,0,A
1989-12-31T15:40:00Z,36.65,0,A
1989-12-31T15:50:00Z,36.75,0,A
1989-12-31T16:00:00Z,36.8,0,A
1989-12-31T16:10:00Z,36.81,0,A
1989-12-31T16:20:00Z,36.87,0,A
1989-12-31T16:30:00Z,36.87,0,A
1989-12-31T16:40:00Z,36.89,0,A
1989-12-31T16:50:00Z,36.94,0,A
1989-12-31T17:00:00Z,36.98,0,A
1989-12-31T17:10:00Z,36.95,0,A
1989-12-31T17:20:00Z,37,0,A
1989-12-31T17:30:00Z,37.07,1,A
1989-12-31T17:40:00Z,37.05,0,A
1989-12-31T17:50:00Z,37,0,A
1989-12-31T18:00:00Z,36.95,0,A
1989-12-31T18:10:00Z,37,0,A
1989-12-31T18:20:00Z,36.94,0,A
1989-12-31T18:30:00Z,36.88,0,A
1989-12-31T18:40:00Z,36.93,0,A
1989-12-31T18:50:00Z,36.98,0,A
1989-12-31T19:00:00Z,36.97,0,A
1989-12-31T19:10:00Z,36.85,0,A
1989-12-31T19:20:00Z,36.92,0,A
1989-12-31T19:30:00Z,36.99,0,A
1989-12-31T19:40:00Z,37.01,0,A
1989-12-31T19:50:00Z,37.1,1,A
1989-12-31T20:00:00Z,37.09,0,A
1989-12-31T20:10:00Z,37.02,0,A
1989-12-31T20:20:00Z,36.96,0,A
1989-12-31T20:30:00Z,36.84,0,A
1989-12-31T20:40:00Z,36.87,0,A
1989-12-31T20:50:00Z,36.85,0,A
1989-12-31T21:00:00Z,36.85,0,A
1989-12-31T21:10:00Z,36.87,0,A
1989-12-31T21:20:00Z,36.89,0,A
1989-12-31T21:30:00Z,36.86,0,A
1989-12-31T21:40:00Z,36.91,0,A
1989-12-31T21:50:00Z,37.53,1,A
1989-12-31T22:00:00Z,37.23,0,A
1989-12-31T22:10:00Z,37.2,0,A
1989-12-31T22:30:00Z,37.25,1,A
1989-12-31T22:40:00Z,37.2,0,A
1989-12-31T22:50:00Z,37.21,0,A
1989-12-31T23:00:00Z,37.24,1,A
1989-12-31T23:10:00Z,37.1,0,A
1989-12-31T23:20:00Z,37.2,0,A
1989-12-31T23:30:00Z,37.18,0,A
1989-12-31T23:40:00Z,36.93,0,A
1989-12-31T23:50:00Z,36.83,0,A
1990-01-01T00:00:00Z,36.93,0,A
1990-01-01T00:10:00Z,36.83,0,A
1990-01-01T00:20:00Z,36.8,0,A
1990-01-01T00:30:00Z,36.75,0,A
1990-01-01T00:40:00Z,36.71,0,A
1990-01-01T00:50:00Z,36.73,0,A
1990-01-01T01:00:00Z,36.75,0,A
1990-01-01T01:10:00Z,36.72,0,A
1990-01-01T01:20:00Z,36.76,0,A
1990-01-01T01:30:00Z,36.7,0,A
1990-01-01T01:40:00Z,36.82,0,A
