ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
1,Green,14.3,6.46,8.0,164.0,61.8,43.9,19.3765,-81.41685,25.5,358
2,Brown,NA,6.83,27.0,139.0,54.3,67.3,19.3765,-81.41685,25.5,358
3,Brown,12.3,5.82,18.0,151.0,57.1,42.2,19.3765,-81.41685,25.5,358
4,Blue,10.5,4.29,36.0,130.0,49.1,25.0,19.3765,-81.41685,25.5,358
5,Brown,10.3,5.29,31.0,131.0,51.2,38.2,19.3765,-81.41685,25.5,358
6,Brown,10.9,5.69,20.0,138.0,51.5,46.9,19.3765,-81.41685,25.5,358
7,Brown,10.4,5.84,25.0,137.0,45.3,59.0,19.3765,-81.41685,25.5,358
8,Green,11.1,5.91,7.0,138.0,49.7,47.6,19.3765,-81.41685,25.5,358
9,Brown,10.0,5.09,20.0,141.0,48.0,34.9,19.3765,-81.41685,25.5,358
10,Brown,12.3,7.2,19.0,129.0,54.9,61.0,19.3765,-81.41685,25.5,358
11,Blue,13.1,NA,27.0,147.0,56.7,66.9,19.3765,-81.41685,25.5,358
12,Brown,11.2,6.66,15.0,134.0,52.7,50.4,19.3765,-81.41685,25.5,358
13,Blue,11.0,6.68,31.0,143.0,53.8,49.5,19.3765,-81.41685,25.5,358
14,Blue,12.1,5.67,35.0,150.0,50.8,51.7,19.3765,-81.41685,25.5,358
15,Green,11.7,7.28,10.0,145.0,56.5,80.0,19.3765,-81.41685,25.5,358
16,Brown,10.6,6.55,19.0,133.0,49.9,56.6,19.3765,-81.41685,25.5,358
17,Blue,10.8,6.02,30.0,148.0,50.1,57.9,19.3765,-81.41685,25.5,358
18,Blue,11.4,5.72,32.0,134.0,50.7,48.8,19.3765,-81.41685,25.5,358
19,Brown,10.8,5.64,24.0,143.0,52.5,33.7,19.3765,-81.41685,25.5,358
20,Blue,10.1,5.4,27.0,133.0,48.2,45.7,19.3765,-81.41685,25.5,358
21,Blue,10.6,5.53,36.0,134.0,46.1,50.3,19.3765,-81.41685,25.5,358
22,Blue,10.8,5.27,30.0,141.0,51.2,43.3,19.3765,-81.41685,25.5,358
23,Brown,12.1,5.69,19.0,148.0,51.1,42.9,19.3765,-81.41685,25.5,358
24,Brown,12.8,7.89,26.0,139.0,56.0,49.2,19.3765,-81.41685,25.5,358
25,Blue,12.5,6.18,28.0,140.0,52.9,48.4,19.3765,-81.41685,25.5,358
26,Brown,11.5,6.53,20.0,145.0,51.4,63.9,19.3765,-81.41685,25.5,358
27,Blue,10.9,5.73,29.0,146.0,47.0,56.5,19.3765,-81.41685,25.5,358
28,Brown,12.0,6.18,26.0,143.0,54.6,54.7,19.3765,-81.41685,25.5,358
