ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
29,Brown,13.7,7.57,23.0,162.0,67.0,73.8,19.38991353,-81.37068941,24.4,458
30,Green,14.4,7.75,8.0,174.0,68.8,65.4,19.38991353,-81.37068941,24.4,458
31,Blue,13.8,7.61,35.0,163.0,63.5,69.7,19.38991353,-81.37068941,24.4,458
32,Green,15.2,8.27,14.0,188.0,67.0,50.6,19.38991353,-81.37068941,24.4,458
33,Green,14.1,6.73,17.0,176.0,64.8,49.0,19.38991353,-81.37068941,24.4,458
34,Blue,14.2,8.43,29.0,177.0,69.6,85.3,19.38991353,-81.37068941,24.4,458
35,Green,14.3,13.3,9.0,179.0,68.3,74.0,19.38991353,-81.37068941,24.4,458
36,Blue,13.8,6.09,33.0,171.0,NA,40.3,19.38991353,-81.37068941,24.4,458
37,Blue,14.4,7.71,33.0,182.0,65.5,59.6,19.38991353,-81.37068941,24.4,458
38,Brown,14.1,7.95,32.0,178.0,70.1,69.0,19.38991353,-81.37068941,24.4,458
39,Brown,15.8,NA,16.0,186.0,71.1,62.5,19.38991353,-81.37068941,24.4,458
40,Green,13.7,7.6,6.0,176.0,67.6,66.9,19.38991353,-81.37068941,24.4,458
41,Blue,15.8,7.79,32.0,184.0,68.8,56.3,19.38991353,-81.37068941,24.4,458
42,Green,13.2,7.75,9.0,168.0,65.9,74.2,19.38991353,-81.37068941,24.4,458
43,Green,14.5,7.78,18.0,169.0,65.1,63.5,19.38991353,-81.37068941,24.4,458
44,Brown,NA,7.36,25.0,175.0,65.2,63.6,19.38991353,-81.37068941,24.4,458
45,Brown,13.9,6.45,22.0,170.0,68.1,47.1,19.38991353,-81.37068941,24.4,458
46,Green,14.0,8.29,10.0,173.0,65.3,66.4,19.38991353,-81.37068941,24.4,458
47,Blue,13.2,6.56,34.0,175.0,65.2,58.6,19.38991353,-81.37068941,24.4,458
48,Green,14.5,8.79,8.0,170.0,65.6,56.5,19.38991353,-81.37068941,24.4,458
49,Blue,14.3,6.92,39.0,167.0,65.9,52.4,19.38991353,-81.37068941,24.4,458
50,Brown,14.3,6.77,21.0,184.0,65.1,55.1,19.38991353,-81.37068941,24.4,458
51,Brown,14.6,7.5,23.0,172.0,64.2,59.6,19.38991353,-81.37068941,24.4,458
52,Green,13.4,7.25,6.0,168.0,65.2,61.2,19.38991353,-81.37068941,24.4,458
53,Brown,15.8,7.8,30.0,185.0,70.6,66.5,19.38991353,-81.37068941,24.4,458
54,Brown,15.2,7.78,37.0,183.0,68.3,72.9,19.38991353,-81.37068941,24.4,458
55,Blue,14.5,7.73,31.0,183.0,67.5,62.8,19.38991353,-81.37068941,24.4,458
56,Blue,15.9,7.74,34.0,194.0,71.5,68.0,19.38991353,-81.37068941,24.4,458
57,Brown,15.2,7.41,35.0,187.0,66.8,64.2,19.38991353,-81.37068941,24.4,458
58,Brown,14.5,7.49,33.0,178.0,63.3,65.8,19.38991353,-81.37068941,24.4,458
59,Blue,14.1,8.98,39.0,168.0,69.7,93.2,19.38991353,-81.37068941,24.4,458
60,Brown,14.7,7.41,25.0,184.0,68.6,45.6,19.38991353,-81.37068941,24.4,458
61,Brown,13.6,7.42,24.0,172.0,63.8,56.1,19.38991353,-81.37068941,24.4,458
62,Brown,15.1,7.07,25.0,176.0,66.8,63.2,19.38991353,-81.37068941,24.4,458
63,Brown,13.6,7.05,20.0,167.0,67.0,57.0,19.38991353,-81.37068941,24.4,458
64,Brown,15.3,7.25,23.0,188.0,68.5,59.7,19.38991353,-81.37068941,24.4,458
65,Green,14.1,5.49,8.0,180.0,69.0,34.6,19.38991353,-81.37068941,24.4,458
66,Blue,15.5,7.7,31.0,180.0,68.2,60.5,19.38991353,-81.37068941,24.4,458
67,Brown,13.2,6.99,34.0,171.0,63.0,61.9,19.38991353,-81.37068941,24.4,458
