ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
68,Blue,13.1,6.65,35.0,107.0,58.4,61.5,19.35652125,-81.37953437,28.7,400
69,Brown,12.8,6.12,20.0,105.0,54.4,53.0,19.35652125,-81.37953437,28.7,400
70,Green,11.3,7.12,11.0,99.0,55.1,63.6,19.35652125,-81.37953437,28.7,400
71,Brown,11.5,6.4,24.0,97.0,54.7,55.6,19.35652125,-81.37953437,28.7,400
72,Brown,12.5,5.06,28.0,103.0,53.6,31.6,19.35652125,-81.37953437,28.7,400
73,Blue,12.7,7.83,38.0,95.0,61.7,68.2,19.35652125,-81.37953437,28.7,400
74,Green,16.0,7.77,10.0,118.0,70.1,69.8,19.35652125,-81.37953437,28.7,400
75,Blue,14.3,6.64,32.0,128.0,64.6,52.6,19.35652125,-81.37953437,28.7,400
76,Brown,11.9,6.08,31.0,98.0,55.2,49.5,19.35652125,-81.37953437,28.7,400
77,Green,11.5,7.34,7.0,109.0,55.9,78.4,19.35652125,-81.37953437,28.7,400
78,Brown,12.3,5.64,23.0,90.0,60.0,38.0,19.35652125,-81.37953437,28.7,400
79,Brown,12.5,7.54,30.0,103.0,62.1,67.4,19.35652125,-81.37953437,28.7,400
80,Brown,11.5,7.09,21.0,109.0,51.1,41.8,19.35652125,-81.37953437,28.7,400
81,Brown,11.1,6.11,21.0,100.0,47.5,58.9,19.35652125,-81.37953437,28.7,400
82,Green,11.2,5.53,8.0,98.0,55.3,45.1,19.35652125,-81.37953437,28.7,400
83,Brown,15.1,7.47,23.0,109.0,68.0,58.9,19.35652125,-81.37953437,28.7,400
84,Blue,13.8,7.58,49.0,113.0,59.5,71.6,19.35652125,-81.37953437,28.7,400
85,Brown,13.6,6.45,26.0,107.0,65.4,52.9,19.35652125,-81.37953437,28.7,400
86,Green,12.1,7.13,16.0,106.0,59.4,62.9,19.35652125,-81.37953437,28.7,400
87,Green,13.8,7.0,10.0,117.0,64.9,59.9,19.35652125,-81.37953437,28.7,400
88,Brown,12.4,6.29,26.0,108.0,57.4,49.1,19.35652125,-81.37953437,28.7,400
89,Blue,13.2,6.91,29.0,118.0,60.1,58.1,19.35652125,-81.37953437,28.7,400
90,Brown,12.2,5.75,16.0,101.0,56.2,50.2,19.35652125,-81.37953437,28.7,400
91,Green,11.6,7.11,14.0,103.0,55.4,64.9,19.35652125,-81.37953437,28.7,400
92,Brown,12.7,7.24,25.0,106.0,59.3,59.3,19.35652125,-81.37953437,28.7,400
93,Brown,13.2,6.96,26.0,100.0,56.9,56.2,19.35652125,-81.37953437,28.7,400
94,Green,14.4,7.95,9.0,102.0,63.4,70.4,19.35652125,-81.37953437,28.7,400
95,Blue,15.1,6.34,51.0,117.0,68.9,38.5,19.35652125,-81.37953437,28.7,400
96,Brown,12.5,6.45,26.0,104.0,59.9,54.1,19.35652125,-81.37953437,28.7,400
97,Green,12.8,6.36,4.0,116.0,57.7,59.1,19.35652125,-81.37953437,28.7,400
98,Green,11.9,5.62,15.0,101.0,52.1,41.0,19.35652125,-81.37953437,28.7,400
99,Blue,11.2,6.03,25.0,92.0,50.8,44.3,19.35652125,-81.37953437,28.7,400
100,Blue,10.5,5.96,30.0,95.0,47.7,53.5,19.35652125,-81.37953437,28.7,400
101,Green,12.5,7.08,21.0,100.0,56.5,41.0,19.35652125,-81.37953437,28.7,400
102,Green,13.6,7.66,11.0,103.0,61.5,79.9,19.35652125,-81.37953437,28.7,400
103,Brown,11.1,6.07,29.0,105.0,50.8,53.7,19.35652125,-81.37953437,28.7,400
