ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
104,Blue,14.8,8.44,28.0,193.0,69.8,74.8,19.31611063,-81.37885625,26.5,470
105,Green,15.8,7.71,11.0,213.0,72.3,61.0,19.31611063,-81.37885625,26.5,470
106,Blue,16.5,8.35,38.0,212.0,72.4,82.7,19.31611063,-81.37885625,26.5,470
107,Green,14.9,8.3,4.0,197.0,71.2,81.2,19.31611063,-81.37885625,26.5,470
108,Green,16.6,7.44,4.0,217.0,75.1,70.1,19.31611063,-81.37885625,26.5,470
109,Brown,15.6,8.02,19.0,212.0,69.3,52.6,19.31611063,-81.37885625,26.5,470
110,Brown,16.2,8.35,22.0,207.0,70.9,53.9,19.31611063,-81.37885625,26.5,470
111,Green,15.7,6.3,9.0,209.0,68.8,37.6,19.31611063,-81.37885625,26.5,470
112,Green,13.8,6.39,15.0,191.0,68.7,46.0,19.31611063,-81.37885625,26.5,470
113,Green,15.5,8.81,13.0,210.0,76.7,89.9,19.31611063,-81.37885625,26.5,470
114,Blue,15.8,6.92,30.0,210.0,72.3,49.6,19.31611063,-81.37885625,26.5,470
115,Green,16.7,8.61,8.0,236.0,78.1,63.3,19.31611063,-81.37885625,26.5,470
116,Green,14.8,8.68,14.0,206.0,71.5,68.4,19.31611063,-81.37885625,26.5,470
117,Brown,15.3,8.89,32.0,202.0,69.8,61.4,19.31611063,-81.37885625,26.5,470
118,Brown,14.9,9.23,22.0,195.0,69.5,71.2,19.31611063,-81.37885625,26.5,470
119,Brown,15.1,5.72,27.0,198.0,70.9,32.9,19.31611063,-81.37885625,26.5,470
120,Blue,14.6,7.76,37.0,212.0,70.3,59.2,19.31611063,-81.37885625,26.5,470
121,Green,15.2,6.89,5.0,203.0,66.7,58.2,19.31611063,-81.37885625,26.5,470
122,Green,15.7,7.98,12.0,216.0,71.0,70.4,19.31611063,-81.37885625,26.5,470
123,Blue,15.2,7.85,35.0,206.0,70.8,74.3,19.31611063,-81.37885625,26.5,470
124,Blue,15.6,7.89,38.0,214.0,74.5,66.7,19.31611063,-81.37885625,26.5,470
125,Brown,13.9,8.09,27.0,194.0,66.1,71.3,19.31611063,-81.37885625,26.5,470
126,Green,15.9,7.99,6.0,201.0,72.4,66.5,19.31611063,-81.37885625,26.5,470
127,Blue,14.2,7.28,29.0,206.0,65.8,52.7,19.31611063,-81.37885625,26.5,470
128,Brown,15.0,8.0,23.0,198.0,70.5,64.1,19.31611063,-81.37885625,26.5,470
129,Blue,14.1,7.82,39.0,188.0,67.6,68.4,19.31611063,-81.37885625,26.5,470
130,Brown,13.6,7.06,33.0,199.0,65.9,62.9,19.31611063,-81.37885625,26.5,470
