ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
131,Blue,11.5,7.09,35.0,189.0,53.5,56.3,19.28098462,-81.39242615,24.6,398
132,Blue,11.3,5.81,29.0,194.0,51.5,49.2,19.28098462,-81.39242615,24.6,398
133,Green,11.8,6.23,10.0,195.0,51.4,56.7,19.28098462,-81.39242615,24.6,398
134,Green,11.1,7.21,20.0,199.0,50.6,55.8,19.28098462,-81.39242615,24.6,398
135,Green,11.0,6.59,14.0,194.0,51.9,50.1,19.28098462,-81.39242615,24.6,398
136,Blue,12.1,5.45,33.0,195.0,52.2,40.6,19.28098462,-81.39242615,24.6,398
137,Brown,11.7,5.51,22.0,201.0,50.2,52.1,19.28098462,-81.39242615,24.6,398
138,Blue,12.2,6.24,32.0,193.0,56.5,44.3,19.28098462,-81.39242615,24.6,398
139,Green,12.3,5.8,25.0,205.0,53.1,49.4,19.28098462,-81.39242615,24.6,398
140,Blue,11.7,5.8,34.0,196.0,49.7,21.1,19.28098462,-81.39242615,24.6,398
141,Green,11.1,5.63,21.0,193.0,54.2,45.9,19.28098462,-81.39242615,24.6,398
142,Green,11.6,6.01,17.0,202.0,55.9,47.5,19.28098462,-81.39242615,24.6,398
143,Green,13.1,6.93,10.0,213.0,56.3,67.1,19.28098462,-81.39242615,24.6,398
144,Green,10.4,5.54,17.0,193.0,48.8,44.3,19.28098462,-81.39242615,24.6,398
145,Green,12.4,6.95,8.0,205.0,52.9,61.6,19.28098462,-81.39242615,24.6,398
146,Green,11.8,9.07,15.0,193.0,57.1,80.4,19.28098462,-81.39242615,24.6,398
147,Brown,11.8,6.44,22.0,187.0,53.5,59.1,19.28098462,-81.39242615,24.6,398
148,Blue,12.7,5.27,33.0,201.0,54.3,36.2,19.28098462,-81.39242615,24.6,398
149,Blue,13.0,6.68,35.0,204.0,56.5,48.1,19.28098462,-81.39242615,24.6,398
150,Blue,12.4,6.38,32.0,205.0,55.9,45.5,19.28098462,-81.39242615,24.6,398
151,Blue,11.0,6.98,25.0,194.0,54.4,70.2,19.28098462,-81.39242615,24.6,398
152,Blue,12.5,6.8,23.0,200.0,55.0,52.7,19.28098462,-81.39242615,24.6,398
153,Blue,11.8,5.97,33.0,188.0,51.7,40.9,19.28098462,-81.39242615,24.6,398
154,Brown,10.9,6.28,22.0,192.0,48.4,52.5,19.28098462,-81.39242615,24.6,398
155,Brown,11.0,7.74,17.0,193.0,52.1,69.1,19.28098462,-81.39242615,24.6,398
156,Green,10.9,7.13,9.0,204.0,50.0,68.7,19.28098462,-81.39242615,24.6,398
157,Green,10.8,6.15,16.0,198.0,49.3,37.2,19.28098462,-81.39242615,24.6,398
158,Green,10.0,6.21,15.0,194.0,48.6,64.8,19.28098462,-81.39242615,24.6,398
159,Green,11.7,6.29,11.0,191.0,54.7,56.1,19.28098462,-81.39242615,24.6,398
160,Brown,11.6,6.27,26.0,194.0,54.7,50.9,19.28098462,-81.39242615,24.6,398
161,Blue,13.2,7.77,29.0,203.0,60.6,81.4,19.28098462,-81.39242615,24.6,398
162,Green,11.6,6.27,12.0,195.0,49.8,53.6,19.28098462,-81.39242615,24.6,398
163,Green,12.5,8.1,18.0,201.0,53.6,67.8,19.28098462,-81.39242615,24.6,398
164,Blue,11.7,5.45,20.0,198.0,52.3,42.5,19.28098462,-81.39242615,24.6,398
165,Brown,11.5,5.3,23.0,201.0,54.4,42.7,19.28098462,-81.39242615,24.6,398
166,Blue,11.5,5.47,35.0,186.0,54.0,38.6,19.28098462,-81.39242615,24.6,398
167,Green,11.9,5.66,15.0,196.0,55.4,47.7,19.28098462,-81.39242615,24.6,398
168,Blue,12.7,7.66,31.0,192.0,57.2,68.3,19.28098462,-81.39242615,24.6,398
169,Brown,11.3,5.99,27.0,194.0,51.3,61.0,19.28098462,-81.39242615,24.6,398
170,Brown,11.2,5.14,27.0,185.0,50.9,44.3,19.28098462,-81.39242615,24.6,398
171,Green,12.9,6.11,13.0,217.0,56.3,54.8,19.28098462,-81.39242615,24.6,398
172,Green,12.3,7.15,4.0,208.0,55.5,74.7,19.28098462,-81.39242615,24.6,398
173,Green,11.1,7.2,14.0,186.0,54.2,62.7,19.28098462,-81.39242615,24.6,398
174,Green,11.0,5.5,15.0,189.0,49.4,33.7,19.28098462,-81.39242615,24.6,398
