ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
219,Brown,16.9,7.58,27.0,151.0,76.5,58.8,19.29253375,-81.36446375,24.0,424
220,Blue,12.0,6.48,30.0,130.0,57.9,54.2,19.29253375,-81.36446375,24.0,424
221,Blue,14.2,6.93,37.0,141.0,69.2,53.7,19.29253375,-81.36446375,24.0,424
222,Green,14.6,7.69,17.0,146.0,63.0,69.4,19.29253375,-81.36446375,24.0,424
223,Brown,13.8,7.6,22.0,138.0,63.0,69.4,19.29253375,-81.36446375,24.0,424
224,Brown,12.1,6.52,22.0,133.0,58.4,51.1,19.29253375,-81.36446375,24.0,424
225,Blue,15.0,8.36,41.0,152.0,65.6,42.9,19.29253375,-81.36446375,24.0,424
226,Blue,14.0,9.14,35.0,145.0,62.1,57.2,19.29253375,-81.36446375,24.0,424
227,Brown,13.1,7.46,18.0,140.0,64.7,61.7,19.29253375,-81.36446375,24.0,424
228,Brown,11.3,7.95,22.0,127.0,55.3,75.5,19.29253375,-81.36446375,24.0,424
229,Brown,12.3,7.43,19.0,127.0,61.0,73.4,19.29253375,-81.36446375,24.0,424
230,Brown,13.6,7.44,27.0,134.0,63.5,68.6,19.29253375,-81.36446375,24.0,424
231,Green,14.5,7.03,14.0,138.0,62.5,57.1,19.29253375,-81.36446375,24.0,424
232,Blue,13.9,8.59,38.0,141.0,68.6,70.3,19.29253375,-81.36446375,24.0,424
233,Green,12.2,6.1,4.0,130.0,53.7,58.6,19.29253375,-81.36446375,24.0,424
234,Blue,14.5,6.72,29.0,137.0,65.3,40.0,19.29253375,-81.36446375,24.0,424
235,Green,11.4,5.61,6.0,131.0,52.2,42.1,19.29253375,-81.36446375,24.0,424
236,Brown,14.0,6.65,28.0,146.0,65.0,55.5,19.29253375,-81.36446375,24.0,424
237,Brown,15.3,8.1,26.0,150.0,68.7,73.2,19.29253375,-81.36446375,24.0,424
238,Blue,15.6,6.54,38.0,153.0,71.2,46.0,19.29253375,-81.36446375,24.0,424
239,Brown,11.6,6.67,23.0,134.0,56.5,50.4,19.29253375,-81.36446375,24.0,424
240,Brown,14.6,6.91,33.0,145.0,66.5,50.7,19.29253375,-81.36446375,24.0,424
241,Green,12.5,6.78,13.0,128.0,59.0,54.2,19.29253375,-81.36446375,24.0,424
242,Brown,14.5,8.36,29.0,142.0,68.4,81.1,19.29253375,-81.36446375,24.0,424
243,Green,15.6,7.29,6.0,144.0,71.4,53.0,19.29253375,-81.36446375,24.0,424
244,Brown,16.0,8.51,29.0,166.0,71.5,70.1,19.29253375,-81.36446375,24.0,424
