ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
245,Green,10.1,8.93,21.0,165.0,44.1,70.7,19.27741563,-81.34063687,25.7,366
246,Green,12.9,5.92,21.0,165.0,56.9,52.9,19.27741563,-81.34063687,25.7,366
247,Green,11.9,6.75,13.0,176.0,57.4,43.6,19.27741563,-81.34063687,25.7,366
248,Green,10.6,6.76,10.0,168.0,52.0,52.7,19.27741563,-81.34063687,25.7,366
249,Brown,11.0,5.12,21.0,168.0,54.0,39.8,19.27741563,-81.34063687,25.7,366
250,Green,11.8,7.25,4.0,173.0,53.7,59.7,19.27741563,-81.34063687,25.7,366
251,Brown,12.3,6.82,15.0,176.0,54.7,65.4,19.27741563,-81.34063687,25.7,366
252,Brown,13.8,5.87,38.0,178.0,60.1,46.2,19.27741563,-81.34063687,25.7,366
253,Blue,10.4,4.96,37.0,174.0,43.3,40.0,19.27741563,-81.34063687,25.7,366
254,Blue,11.9,6.18,31.0,156.0,53.5,56.7,19.27741563,-81.34063687,25.7,366
255,Brown,12.1,6.31,16.0,174.0,51.4,60.9,19.27741563,-81.34063687,25.7,366
256,Green,12.5,5.56,11.0,177.0,54.4,43.4,19.27741563,-81.34063687,25.7,366
257,Green,10.8,4.99,6.0,166.0,47.8,33.0,19.27741563,-81.34063687,25.7,366
258,Green,12.1,6.49,11.0,179.0,54.7,54.5,19.27741563,-81.34063687,25.7,366
259,Blue,12.7,6.61,32.0,183.0,57.9,54.6,19.27741563,-81.34063687,25.7,366
260,Green,12.8,6.77,6.0,166.0,58.4,61.3,19.27741563,-81.34063687,25.7,366
261,Blue,9.4,4.42,28.0,161.0,40.3,41.5,19.27741563,-81.34063687,25.7,366
262,Green,10.2,6.59,9.0,167.0,49.6,62.0,19.27741563,-81.34063687,25.7,366
263,Blue,11.6,7.19,28.0,179.0,48.4,51.8,19.27741563,-81.34063687,25.7,366
264,Blue,12.1,8.63,34.0,176.0,54.8,56.0,19.27741563,-81.34063687,25.7,366
265,Brown,12.3,6.5,25.0,182.0,57.1,51.3,19.27741563,-81.34063687,25.7,366
266,Green,9.7,6.27,11.0,160.0,47.2,42.3,19.27741563,-81.34063687,25.7,366
267,Green,12.9,8.66,14.0,181.0,56.6,63.8,19.27741563,-81.34063687,25.7,366
268,Blue,12.4,6.91,32.0,177.0,53.0,42.0,19.27741563,-81.34063687,25.7,366
269,Blue,10.7,6.81,27.0,173.0,44.9,66.8,19.27741563,-81.34063687,25.7,366
270,Green,12.6,6.99,8.0,181.0,56.8,63.1,19.27741563,-81.34063687,25.7,366
271,Brown,10.2,5.72,25.0,167.0,50.2,40.6,19.27741563,-81.34063687,25.7,366
272,Green,9.3,4.82,14.0,150.0,44.5,43.7,19.27741563,-81.34063687,25.7,366
273,Blue,11.4,5.39,30.0,171.0,47.3,56.0,19.27741563,-81.34063687,25.7,366
274,Green,11.1,6.14,14.0,175.0,50.1,57.0,19.27741563,-81.34063687,25.7,366
275,Blue,10.0,5.98,21.0,172.0,48.6,54.2,19.27741563,-81.34063687,25.7,366
276,Brown,11.9,6.52,26.0,177.0,50.1,54.8,19.27741563,-81.34063687,25.7,366
277,Brown,12.1,6.72,15.0,181.0,55.4,62.7,19.27741563,-81.34063687,25.7,366
278,Green,11.4,5.42,17.0,166.0,51.7,44.6,19.27741563,-81.34063687,25.7,366
279,Green,11.7,6.28,21.0,181.0,50.6,51.0,19.27741563,-81.34063687,25.7,366
280,Brown,11.1,7.28,17.0,167.0,50.8,31.4,19.27741563,-81.34063687,25.7,366
281,Blue,11.6,6.45,29.0,169.0,55.8,43.4,19.27741563,-81.34063687,25.7,366
282,Brown,13.0,7.06,26.0,179.0,63.9,56.4,19.27741563,-81.34063687,25.7,366
283,Green,11.2,6.42,12.0,167.0,55.8,48.6,19.27741563,-81.34063687,25.7,366
284,Green,12.3,5.24,6.0,174.0,51.8,40.5,19.27741563,-81.34063687,25.7,366
285,Brown,10.2,6.17,18.0,175.0,44.3,59.0,19.27741563,-81.34063687,25.7,366
286,Green,13.0,7.61,13.0,175.0,57.9,50.2,19.27741563,-81.34063687,25.7,366
