ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
321,Green,16.7,8.71,3.0,156.0,75.1,77.1,19.27914313,-81.25184313,27.9,488
322,Blue,16.6,8.1,41.0,140.0,74.3,65.1,19.27914313,-81.25184313,27.9,488
323,Green,16.5,9.27,9.0,161.0,78.2,78.4,19.27914313,-81.25184313,27.9,488
324,Brown,15.5,8.15,30.0,156.0,74.5,58.5,19.27914313,-81.25184313,27.9,488
325,Green,13.9,7.63,12.0,133.0,68.9,74.3,19.27914313,-81.25184313,27.9,488
326,Blue,15.3,8.69,39.0,151.0,73.4,68.1,19.27914313,-81.25184313,27.9,488
327,Green,13.8,7.9,12.0,143.0,66.2,71.2,19.27914313,-81.25184313,27.9,488
328,Green,15.6,8.69,7.0,159.0,70.9,68.0,19.27914313,-81.25184313,27.9,488
329,Green,15.2,8.02,7.0,137.0,72.4,64.2,19.27914313,-81.25184313,27.9,488
330,Blue,15.5,8.04,33.0,145.0,71.5,67.9,19.27914313,-81.25184313,27.9,488
331,Blue,15.7,7.42,40.0,158.0,74.4,60.9,19.27914313,-81.25184313,27.9,488
332,Blue,15.9,6.76,43.0,162.0,72.1,59.1,19.27914313,-81.25184313,27.9,488
333,Green,15.9,8.57,1.0,156.0,78.0,72.9,19.27914313,-81.25184313,27.9,488
334,Brown,15.9,8.11,30.0,144.0,72.4,82.0,19.27914313,-81.25184313,27.9,488
335,Green,17.3,9.19,0.0,164.0,76.6,73.9,19.27914313,-81.25184313,27.9,488
336,Green,18.2,8.65,2.0,169.0,84.3,76.3,19.27914313,-81.25184313,27.9,488
337,Brown,15.1,8.18,26.0,147.0,72.4,54.6,19.27914313,-81.25184313,27.9,488
338,Green,15.4,8.79,6.0,143.0,74.9,72.7,19.27914313,-81.25184313,27.9,488
339,Green,17.2,9.35,0.0,166.0,79.1,79.9,19.27914313,-81.25184313,27.9,488
340,Green,16.3,8.07,9.0,159.0,72.5,68.1,19.27914313,-81.25184313,27.9,488
341,Brown,15.0,7.46,19.0,151.0,74.1,61.1,19.27914313,-81.25184313,27.9,488
342,Green,15.9,7.54,13.0,152.0,71.4,49.2,19.27914313,-81.25184313,27.9,488
343,Green,16.5,8.16,13.0,162.0,73.2,78.3,19.27914313,-81.25184313,27.9,488
344,Brown,16.7,8.93,31.0,153.0,75.6,74.3,19.27914313,-81.25184313,27.9,488
345,Green,14.9,6.84,9.0,141.0,73.6,55.6,19.27914313,-81.25184313,27.9,488
346,Blue,16.2,8.73,39.0,152.0,75.1,61.7,19.27914313,-81.25184313,27.9,488
347,Green,15.3,7.62,10.0,164.0,NA,50.7,19.27914313,-81.25184313,27.9,488
348,Green,16.0,7.16,13.0,158.0,73.2,50.4,19.27914313,-81.25184313,27.9,488
349,Brown,16.7,11.83,31.0,145.0,80.4,69.2,19.27914313,-81.25184313,27.9,488
350,Brown,14.9,7.95,28.0,153.0,73.3,64.7,19.27914313,-81.25184313,27.9,488
351,Green,14.8,7.07,15.0,159.0,68.1,62.8,19.27914313,-81.25184313,27.9,488
352,Brown,16.4,9.21,30.0,147.0,81.0,86.8,19.27914313,-81.25184313,27.9,488
353,Brown,14.9,8.68,25.0,146.0,73.7,69.2,19.27914313,-81.25184313,27.9,488
354,Blue,17.0,8.31,41.0,164.0,78.6,74.4,19.27914313,-81.25184313,27.9,488
355,Green,16.6,8.41,4.0,153.0,75.0,75.4,19.27914313,-81.25184313,27.9,488
356,Brown,15.7,7.92,28.0,146.0,73.8,55.6,19.27914313,-81.25184313,27.9,488
