ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
357,Green,11.6,6.54,11.0,90.0,54.1,53.4,19.28667125,-81.2392575,25.0,360
358,Green,10.8,5.65,13.0,90.0,49.9,38.1,19.28667125,-81.2392575,25.0,360
359,Blue,10.5,7.1,22.0,81.0,52.3,63.8,19.28667125,-81.2392575,25.0,360
360,Green,10.2,6.01,12.0,86.0,49.4,55.2,19.28667125,-81.2392575,25.0,360
361,Green,11.3,6.54,18.0,88.0,55.5,51.7,19.28667125,-81.2392575,25.0,360
362,Brown,11.9,7.0,22.0,93.0,52.1,56.9,19.28667125,-81.2392575,25.0,360
363,Brown,11.9,6.53,24.0,98.0,52.3,42.7,19.28667125,-81.2392575,25.0,360
364,Brown,10.9,7.21,21.0,88.0,54.7,55.8,19.28667125,-81.2392575,25.0,360
365,Green,9.6,5.64,12.0,75.0,47.7,54.4,19.28667125,-81.2392575,25.0,360
366,Green,9.7,4.89,18.0,58.0,47.7,23.7,19.28667125,-81.2392575,25.0,360
367,Blue,11.2,5.03,38.0,92.0,49.9,35.8,19.28667125,-81.2392575,25.0,360
368,Green,13.0,6.38,9.0,100.0,56.0,60.6,19.28667125,-81.2392575,25.0,360
369,Blue,11.4,5.89,27.0,83.0,49.5,48.4,19.28667125,-81.2392575,25.0,360
370,Green,12.1,5.93,17.0,89.0,50.4,47.1,19.28667125,-81.2392575,25.0,360
371,Green,11.6,5.54,19.0,98.0,55.3,39.2,19.28667125,-81.2392575,25.0,360
372,Green,11.4,5.31,17.0,83.0,55.5,38.7,19.28667125,-81.2392575,25.0,360
373,Blue,11.5,6.26,22.0,81.0,53.6,49.7,19.28667125,-81.2392575,25.0,360
374,Blue,10.3,6.49,35.0,80.0,50.8,40.1,19.28667125,-81.2392575,25.0,360
375,Blue,12.3,7.79,31.0,101.0,57.7,56.6,19.28667125,-81.2392575,25.0,360
376,Blue,11.1,7.51,26.0,87.0,54.1,50.3,19.28667125,-81.2392575,25.0,360
377,Green,10.6,5.32,21.0,95.0,50.9,41.8,19.28667125,-81.2392575,25.0,360
378,Brown,12.1,6.08,20.0,98.0,52.2,52.4,19.28667125,-81.2392575,25.0,360
379,Blue,12.1,6.63,34.0,96.0,57.1,53.7,19.28667125,-81.2392575,25.0,360
380,Brown,11.1,5.95,25.0,83.0,53.1,45.6,19.28667125,-81.2392575,25.0,360
381,Brown,12.3,6.87,23.0,93.0,53.9,62.2,19.28667125,-81.2392575,25.0,360
382,Brown,12.6,7.98,24.0,92.0,57.6,47.6,19.28667125,-81.2392575,25.0,360
383,Blue,11.4,5.4,40.0,90.0,48.3,45.9,19.28667125,-81.2392575,25.0,360
384,Green,10.6,5.88,18.0,71.0,46.9,49.4,19.28667125,-81.2392575,25.0,360
385,Blue,9.9,6.06,32.0,80.0,47.9,50.1,19.28667125,-81.2392575,25.0,360
386,Brown,11.1,5.12,19.0,91.0,46.1,33.8,19.28667125,-81.2392575,25.0,360
387,Green,13.2,6.81,7.0,97.0,56.5,59.7,19.28667125,-81.2392575,25.0,360
388,Green,10.2,6.2,19.0,82.0,45.7,59.2,19.28667125,-81.2392575,25.0,360
389,Brown,11.4,6.07,16.0,79.0,54.1,53.2,19.28667125,-81.2392575,25.0,360
390,Blue,11.9,6.75,34.0,90.0,53.4,51.0,19.28667125,-81.2392575,25.0,360
391,Brown,12.5,6.13,20.0,94.0,57.4,51.1,19.28667125,-81.2392575,25.0,360
392,Blue,11.5,5.93,26.0,87.0,54.5,43.1,19.28667125,-81.2392575,25.0,360
