ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
393,Green,11.1,6.63,9.0,216.0,51.0,61.6,19.35586563,-81.2749825,26.1,336
394,Brown,10.5,6.6,17.0,211.0,45.5,57.8,19.35586563,-81.2749825,26.1,336
395,Green,12.3,7.08,15.0,215.0,55.5,62.0,19.35586563,-81.2749825,26.1,336
396,Brown,9.5,4.33,22.0,209.0,40.5,34.7,19.35586563,-81.2749825,26.1,336
397,Brown,10.3,5.55,28.0,208.0,49.3,43.6,19.35586563,-81.2749825,26.1,336
398,Green,10.6,6.0,9.0,213.0,45.6,50.3,19.35586563,-81.2749825,26.1,336
399,Green,10.2,4.85,15.0,214.0,45.2,35.6,19.35586563,-81.2749825,26.1,336
400,Green,10.9,6.06,23.0,203.0,46.6,52.2,19.35586563,-81.2749825,26.1,336
401,Brown,11.7,8.35,24.0,214.0,58.2,70.5,19.35586563,-81.2749825,26.1,336
402,Blue,11.8,6.23,30.0,219.0,49.9,59.7,19.35586563,-81.2749825,26.1,336
403,Blue,11.8,6.18,36.0,211.0,50.0,50.9,19.35586563,-81.2749825,26.1,336
404,Blue,11.4,8.15,29.0,214.0,56.7,71.1,19.35586563,-81.2749825,26.1,336
405,Blue,11.3,6.54,30.0,209.0,55.4,36.8,19.35586563,-81.2749825,26.1,336
406,Blue,13.1,6.42,37.0,217.0,56.5,56.8,19.35586563,-81.2749825,26.1,336
407,Green,10.2,5.49,13.0,218.0,49.2,47.9,19.35586563,-81.2749825,26.1,336
408,Blue,9.7,6.61,28.0,208.0,46.1,57.6,19.35586563,-81.2749825,26.1,336
409,Green,12.4,6.19,8.0,215.0,58.5,53.8,19.35586563,-81.2749825,26.1,336
410,Blue,10.6,6.11,20.0,214.0,51.7,61.2,19.35586563,-81.2749825,26.1,336
411,Blue,12.1,7.16,35.0,219.0,50.5,50.5,19.35586563,-81.2749825,26.1,336
412,Brown,11.2,5.74,16.0,208.0,50.9,47.3,19.35586563,-81.2749825,26.1,336
413,Blue,9.2,4.82,31.0,191.0,42.6,44.5,19.35586563,-81.2749825,26.1,336
414,Blue,10.5,5.29,18.0,205.0,44.3,39.9,19.35586563,-81.2749825,26.1,336
415,Green,11.0,5.85,25.0,210.0,46.1,51.3,19.35586563,-81.2749825,26.1,336
416,Blue,10.4,6.87,33.0,209.0,51.4,57.5,19.35586563,-81.2749825,26.1,336
417,Green,11.5,5.78,17.0,210.0,56.6,42.6,19.35586563,-81.2749825,26.1,336
418,Green,11.0,6.05,13.0,212.0,53.1,46.4,19.35586563,-81.2749825,26.1,336
419,Brown,9.6,5.36,18.0,203.0,45.1,49.9,19.35586563,-81.2749825,26.1,336
420,Green,9.4,5.79,10.0,204.0,43.3,40.8,19.35586563,-81.2749825,26.1,336
421,Blue,10.5,4.82,31.0,215.0,44.6,39.9,19.35586563,-81.2749825,26.1,336
