ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
422,Brown,11.7,7.65,23.0,211.0,53.9,53.5,19.33908375,-81.19405625,25.7,396
423,Brown,12.6,7.31,26.0,222.0,53.9,67.7,19.33908375,-81.19405625,25.7,396
424,Green,11.0,5.86,12.0,200.0,52.6,33.4,19.33908375,-81.19405625,25.7,396
425,Green,12.5,7.34,14.0,219.0,55.4,51.3,19.33908375,-81.19405625,25.7,396
426,Blue,13.5,5.71,40.0,211.0,57.7,46.2,19.33908375,-81.19405625,25.7,396
427,Blue,11.5,6.75,27.0,210.0,53.4,59.6,19.33908375,-81.19405625,25.7,396
428,Blue,11.3,5.23,33.0,223.0,52.8,39.8,19.33908375,-81.19405625,25.7,396
429,Brown,11.0,6.24,26.0,213.0,51.9,59.6,19.33908375,-81.19405625,25.7,396
430,Green,12.7,6.11,9.0,213.0,54.6,41.1,19.33908375,-81.19405625,25.7,396
431,Blue,10.2,5.55,21.0,208.0,51.2,49.5,19.33908375,-81.19405625,25.7,396
432,Blue,11.5,6.56,31.0,207.0,54.7,52.4,19.33908375,-81.19405625,25.7,396
433,Blue,12.1,7.54,28.0,207.0,55.7,62.9,19.33908375,-81.19405625,25.7,396
434,Brown,11.8,5.71,29.0,215.0,54.7,50.2,19.33908375,-81.19405625,25.7,396
435,Blue,11.6,6.81,31.0,211.0,52.6,70.4,19.33908375,-81.19405625,25.7,396
436,Green,12.2,6.19,5.0,212.0,52.7,51.5,19.33908375,-81.19405625,25.7,396
437,Green,12.2,5.04,11.0,213.0,54.6,36.2,19.33908375,-81.19405625,25.7,396
438,Green,12.8,6.74,3.0,211.0,57.2,52.4,19.33908375,-81.19405625,25.7,396
439,Blue,13.2,6.79,31.0,217.0,56.1,64.4,19.33908375,-81.19405625,25.7,396
440,Blue,12.6,5.78,36.0,206.0,54.4,49.0,19.33908375,-81.19405625,25.7,396
441,Green,12.1,7.76,18.0,216.0,57.9,71.6,19.33908375,-81.19405625,25.7,396
442,Blue,11.1,5.13,29.0,209.0,54.6,37.8,19.33908375,-81.19405625,25.7,396
443,Blue,11.0,7.58,32.0,202.0,51.8,39.6,19.33908375,-81.19405625,25.7,396
444,Green,10.5,5.31,14.0,199.0,50.1,40.2,19.33908375,-81.19405625,25.7,396
445,Brown,11.9,9.79,24.0,210.0,56.0,70.7,19.33908375,-81.19405625,25.7,396
446,Brown,11.4,5.5,25.0,213.0,51.0,50.7,19.33908375,-81.19405625,25.7,396
447,Green,12.3,6.63,10.0,217.0,53.4,51.7,19.33908375,-81.19405625,25.7,396
448,Green,11.9,6.46,14.0,212.0,54.7,60.0,19.33908375,-81.19405625,25.7,396
449,Blue,11.3,6.59,32.0,213.0,56.2,64.8,19.33908375,-81.19405625,25.7,396
450,Brown,12.6,7.64,22.0,224.0,57.7,76.6,19.33908375,-81.19405625,25.7,396
451,Green,12.4,6.04,8.0,217.0,54.1,57.0,19.33908375,-81.19405625,25.7,396
452,Brown,11.4,6.22,24.0,214.0,51.5,50.1,19.33908375,-81.19405625,25.7,396
453,Blue,12.3,5.03,29.0,210.0,56.7,33.9,19.33908375,-81.19405625,25.7,396
454,Brown,11.7,5.49,28.0,206.0,54.6,44.8,19.33908375,-81.19405625,25.7,396
455,Brown,13.0,6.32,20.0,217.0,56.5,45.7,19.33908375,-81.19405625,25.7,396
456,Green,11.7,7.3,12.0,218.0,57.7,51.1,19.33908375,-81.19405625,25.7,396
457,Blue,11.8,5.27,35.0,216.0,53.1,47.2,19.33908375,-81.19405625,25.7,396
458,Green,11.2,6.17,21.0,211.0,54.2,39.7,19.33908375,-81.19405625,25.7,396
459,Brown,11.5,6.39,27.0,204.0,55.6,56.8,19.33908375,-81.19405625,25.7,396
460,Brown,11.1,6.18,24.0,204.0,55.0,33.6,19.33908375,-81.19405625,25.7,396
461,Brown,13.5,5.64,27.0,221.0,57.5,40.4,19.33908375,-81.19405625,25.7,396
