ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
489,Green,16.7,8.61,2.0,230.0,76.4,84.9,19.31815312,-81.16781188,26.9,496
490,Green,16.2,8.19,10.0,221.0,74.3,73.1,19.31815312,-81.16781188,26.9,496
491,Blue,13.2,7.7,32.0,211.0,61.3,64.7,19.31815312,-81.16781188,26.9,496
492,Brown,13.2,6.99,27.0,200.0,65.5,59.6,19.31815312,-81.16781188,26.9,496
493,Green,15.4,7.94,11.0,215.0,74.0,64.4,19.31815312,-81.16781188,26.9,496
494,Blue,16.7,8.64,40.0,212.0,74.8,70.6,19.31815312,-81.16781188,26.9,496
495,Green,15.2,8.15,5.0,208.0,71.9,84.5,19.31815312,-81.16781188,26.9,496
496,Blue,16.1,8.84,32.0,217.0,77.4,74.3,19.31815312,-81.16781188,26.9,496
497,Blue,18.7,9.33,43.0,230.0,84.5,88.9,19.31815312,-81.16781188,26.9,496
498,Green,16.0,6.86,5.0,222.0,70.2,56.3,19.31815312,-81.16781188,26.9,496
499,Blue,15.3,7.94,41.0,202.0,74.2,52.8,19.31815312,-81.16781188,26.9,496
500,Brown,14.7,7.73,18.0,216.0,64.2,63.0,19.31815312,-81.16781188,26.9,496
501,Brown,14.8,8.02,23.0,220.0,71.2,57.2,19.31815312,-81.16781188,26.9,496
502,Blue,13.9,9.35,27.0,203.0,67.8,77.8,19.31815312,-81.16781188,26.9,496
503,Blue,15.5,7.23,31.0,218.0,67.9,56.2,19.31815312,-81.16781188,26.9,496
504,Brown,14.8,7.34,22.0,213.0,69.3,64.2,19.31815312,-81.16781188,26.9,496
505,Brown,15.4,6.4,24.0,224.0,72.8,36.9,19.31815312,-81.16781188,26.9,496
506,Brown,16.4,9.63,24.0,217.0,74.3,65.7,19.31815312,-81.16781188,26.9,496
507,Brown,15.0,7.71,28.0,203.0,73.3,67.3,19.31815312,-81.16781188,26.9,496
508,Blue,16.1,8.5,36.0,221.0,79.3,73.8,19.31815312,-81.16781188,26.9,496
509,Brown,13.7,8.18,18.0,206.0,67.3,64.8,19.31815312,-81.16781188,26.9,496
510,Brown,16.4,7.42,26.0,212.0,75.8,64.4,19.31815312,-81.16781188,26.9,496
511,Green,13.6,6.5,13.0,198.0,62.2,51.5,19.31815312,-81.16781188,26.9,496
512,Brown,13.0,7.31,16.0,215.0,65.1,66.0,19.31815312,-81.16781188,26.9,496
513,Blue,14.6,8.05,41.0,217.0,71.7,63.4,19.31815312,-81.16781188,26.9,496
514,Green,15.0,7.41,15.0,218.0,69.0,58.8,19.31815312,-81.16781188,26.9,496
515,Blue,15.1,7.36,34.0,210.0,75.0,62.2,19.31815312,-81.16781188,26.9,496
516,Brown,16.0,7.36,22.0,215.0,72.6,59.2,19.31815312,-81.16781188,26.9,496
517,Blue,14.2,7.29,36.0,201.0,65.6,53.1,19.31815312,-81.16781188,26.9,496
518,Blue,14.0,8.17,30.0,199.0,67.1,70.7,19.31815312,-81.16781188,26.9,496
519,Brown,17.3,8.04,23.0,223.0,80.2,56.6,19.31815312,-81.16781188,26.9,496
520,Green,13.9,7.06,6.0,215.0,69.6,58.5,19.31815312,-81.16781188,26.9,496
