ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
521,Green,12.4,6.52,14.0,210.0,56.6,58.9,19.34939529,-81.13229,26.2,442
522,Blue,13.7,8.36,30.0,218.0,64.4,77.2,19.34939529,-81.13229,26.2,442
523,Green,12.1,6.86,19.0,200.0,59.5,57.8,19.34939529,-81.13229,26.2,442
524,Brown,12.7,6.97,17.0,216.0,58.4,65.1,19.34939529,-81.13229,26.2,442
525,Green,13.3,6.93,10.0,201.0,59.1,59.0,19.34939529,-81.13229,26.2,442
526,Blue,15.4,9.74,41.0,221.0,76.3,95.7,19.34939529,-81.13229,26.2,442
527,Blue,13.1,7.54,32.0,222.0,62.4,57.3,19.34939529,-81.13229,26.2,442
528,Brown,14.2,7.87,20.0,225.0,68.3,71.8,19.34939529,-81.13229,26.2,442
529,Blue,13.3,5.75,38.0,211.0,58.1,39.2,19.34939529,-81.13229,26.2,442
530,Brown,13.6,7.01,24.0,214.0,60.3,64.0,19.34939529,-81.13229,26.2,442
531,Green,14.0,7.32,5.0,215.0,62.3,68.6,19.34939529,-81.13229,26.2,442
532,Brown,14.9,7.47,30.0,229.0,66.5,73.4,19.34939529,-81.13229,26.2,442
533,Blue,13.2,6.58,25.0,212.0,61.3,56.7,19.34939529,-81.13229,26.2,442
534,Green,11.6,5.29,12.0,205.0,56.1,30.9,19.34939529,-81.13229,26.2,442
535,Blue,12.4,6.74,31.0,211.0,60.6,60.6,19.34939529,-81.13229,26.2,442
536,Blue,12.0,8.23,30.0,202.0,56.5,52.4,19.34939529,-81.13229,26.2,442
537,Blue,12.7,5.91,28.0,204.0,59.2,40.2,19.34939529,-81.13229,26.2,442
538,Green,15.2,7.58,10.0,228.0,68.4,73.2,19.34939529,-81.13229,26.2,442
539,Green,13.3,7.55,2.0,225.0,63.8,72.2,19.34939529,-81.13229,26.2,442
540,Brown,15.4,7.95,23.0,227.0,72.9,73.1,19.34939529,-81.13229,26.2,442
541,Blue,14.1,8.23,35.0,208.0,61.2,78.2,19.34939529,-81.13229,26.2,442
542,Brown,13.2,8.05,25.0,203.0,60.1,75.9,19.34939529,-81.13229,26.2,442
543,Blue,15.2,6.88,34.0,230.0,70.2,57.9,19.34939529,-81.13229,26.2,442
544,Blue,15.7,8.12,34.0,223.0,71.7,71.5,19.34939529,-81.13229,26.2,442
545,Brown,14.4,7.37,19.0,227.0,67.5,70.6,19.34939529,-81.13229,26.2,442
546,Blue,14.9,7.66,34.0,220.0,69.9,64.1,19.34939529,-81.13229,26.2,442
547,Green,14.8,6.78,19.0,226.0,67.0,49.4,19.34939529,-81.13229,26.2,442
548,Green,14.0,7.56,7.0,219.0,59.9,63.3,19.34939529,-81.13229,26.2,442
549,Blue,13.1,6.64,32.0,229.0,60.6,50.0,19.34939529,-81.13229,26.2,442
550,Blue,13.4,6.99,37.0,209.0,58.1,67.7,19.34939529,-81.13229,26.2,442
551,Brown,12.8,7.75,25.0,214.0,63.7,62.8,19.34939529,-81.13229,26.2,442
552,Brown,15.4,9.58,29.0,216.0,70.4,81.6,19.34939529,-81.13229,26.2,442
553,Green,13.2,6.73,3.0,210.0,62.0,60.3,19.34939529,-81.13229,26.2,442
554,Green,15.3,7.67,14.0,213.0,71.2,59.6,19.34939529,-81.13229,26.2,442
555,Brown,10.4,5.92,24.0,200.0,52.0,38.2,19.34939529,-81.13229,26.2,442
556,Blue,11.6,5.98,26.0,200.0,50.2,42.5,19.34939529,-81.13229,26.2,442
557,Brown,11.7,6.78,30.0,208.0,56.2,55.1,19.34939529,-81.13229,26.2,442
558,Brown,14.1,8.2,20.0,226.0,67.2,69.2,19.34939529,-81.13229,26.2,442
559,Green,13.5,7.39,6.0,218.0,65.7,62.5,19.34939529,-81.13229,26.2,442
560,Brown,12.9,7.25,27.0,211.0,60.9,72.3,19.34939529,-81.13229,26.2,442
561,Blue,13.6,7.1,40.0,230.0,60.3,59.3,19.34939529,-81.13229,26.2,442
562,Blue,13.1,5.23,28.0,203.0,61.6,36.9,19.34939529,-81.13229,26.2,442
