ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
563,Brown,14.5,6.26,22.0,193.0,62.7,43.5,19.30160125,-81.11009125,23.6,482
564,Blue,13.4,6.92,35.0,192.0,65.0,57.9,19.30160125,-81.11009125,23.6,482
565,Brown,15.0,8.22,26.0,205.0,68.3,66.0,19.30160125,-81.11009125,23.6,482
566,Blue,14.6,8.23,36.0,209.0,68.2,78.7,19.30160125,-81.11009125,23.6,482
567,Green,15.8,7.84,6.0,205.0,71.3,57.6,19.30160125,-81.11009125,23.6,482
568,Blue,12.8,6.29,32.0,197.0,63.7,51.2,19.30160125,-81.11009125,23.6,482
569,Green,14.2,7.87,13.0,206.0,66.2,53.6,19.30160125,-81.11009125,23.6,482
570,Green,13.4,6.99,12.0,176.0,66.0,46.9,19.30160125,-81.11009125,23.6,482
571,Brown,14.3,7.28,25.0,190.0,65.2,61.6,19.30160125,-81.11009125,23.6,482
572,Blue,14.1,8.25,35.0,194.0,61.8,61.7,19.30160125,-81.11009125,23.6,482
573,Green,14.5,6.71,8.0,202.0,64.7,53.4,19.30160125,-81.11009125,23.6,482
574,Blue,14.4,7.05,38.0,193.0,66.0,56.3,19.30160125,-81.11009125,23.6,482
575,Brown,13.2,7.49,15.0,195.0,65.3,64.3,19.30160125,-81.11009125,23.6,482
576,Green,14.5,8.1,8.0,194.0,66.6,66.9,19.30160125,-81.11009125,23.6,482
577,Blue,13.6,6.96,35.0,185.0,64.3,54.2,19.30160125,-81.11009125,23.6,482
578,Brown,15.7,7.77,22.0,199.0,70.9,68.0,19.30160125,-81.11009125,23.6,482
579,Blue,14.5,7.85,34.0,210.0,68.4,67.6,19.30160125,-81.11009125,23.6,482
580,Blue,14.9,8.62,43.0,193.0,68.5,70.3,19.30160125,-81.11009125,23.6,482
581,Blue,14.0,6.56,34.0,193.0,63.5,56.4,19.30160125,-81.11009125,23.6,482
582,Green,14.5,7.29,11.0,193.0,63.2,66.4,19.30160125,-81.11009125,23.6,482
583,Blue,14.7,7.74,28.0,196.0,69.2,46.6,19.30160125,-81.11009125,23.6,482
584,Blue,14.9,7.48,34.0,205.0,70.1,67.3,19.30160125,-81.11009125,23.6,482
585,Blue,13.8,7.37,35.0,198.0,67.9,67.0,19.30160125,-81.11009125,23.6,482
586,Blue,15.1,7.41,36.0,196.0,68.0,63.5,19.30160125,-81.11009125,23.6,482
587,Brown,14.6,6.94,20.0,192.0,65.1,59.9,19.30160125,-81.11009125,23.6,482
588,Blue,14.8,7.3,38.0,191.0,67.9,59.7,19.30160125,-81.11009125,23.6,482
589,Brown,12.5,6.78,25.0,182.0,62.3,58.2,19.30160125,-81.11009125,23.6,482
590,Blue,14.5,7.6,32.0,202.0,71.0,63.9,19.30160125,-81.11009125,23.6,482
591,Blue,13.5,8.29,28.0,189.0,66.6,75.4,19.30160125,-81.11009125,23.6,482
592,Green,13.8,6.62,20.0,190.0,66.1,46.3,19.30160125,-81.11009125,23.6,482
593,Green,14.5,6.83,9.0,197.0,67.6,55.5,19.30160125,-81.11009125,23.6,482
594,Green,14.8,7.56,11.0,209.0,66.5,69.3,19.30160125,-81.11009125,23.6,482
595,Brown,14.6,7.62,25.0,190.0,68.9,70.1,19.30160125,-81.11009125,23.6,482
596,Green,14.6,8.52,14.0,192.0,64.4,74.2,19.30160125,-81.11009125,23.6,482
597,Brown,12.4,6.88,27.0,175.0,57.8,56.7,19.30160125,-81.11009125,23.6,482
598,Brown,13.9,8.26,28.0,193.0,69.1,66.4,19.30160125,-81.11009125,23.6,482
599,Green,13.7,8.26,11.0,193.0,62.2,68.2,19.30160125,-81.11009125,23.6,482
600,Green,15.4,7.91,14.0,205.0,68.0,69.8,19.30160125,-81.11009125,23.6,482
601,Blue,14.8,6.94,32.0,201.0,67.2,62.0,19.30160125,-81.11009125,23.6,482
602,Green,14.3,8.22,11.0,201.0,69.2,58.9,19.30160125,-81.11009125,23.6,482
603,Brown,14.4,7.94,31.0,197.0,70.0,76.8,19.30160125,-81.11009125,23.6,482
604,Blue,14.1,7.13,44.0,189.0,61.4,65.4,19.30160125,-81.11009125,23.6,482
605,Green,15.9,7.97,2.0,205.0,73.2,71.8,19.30160125,-81.11009125,23.6,482
606,Brown,12.1,7.4,25.0,194.0,59.7,66.8,19.30160125,-81.11009125,23.6,482
607,Green,13.9,8.32,9.0,194.0,68.7,73.2,19.30160125,-81.11009125,23.6,482
