ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
608,Brown,15.0,8.62,26.0,216.0,67.9,67.6,19.32788636,-81.10322636,23.1,486
609,Brown,16.0,7.73,32.0,238.0,71.7,67.5,19.32788636,-81.10322636,23.1,486
610,Brown,15.2,9.33,33.0,214.0,74.3,55.3,19.32788636,-81.10322636,23.1,486
611,Brown,15.1,7.64,22.0,230.0,68.0,72.4,19.32788636,-81.10322636,23.1,486
612,Blue,16.5,7.92,38.0,233.0,73.4,79.2,19.32788636,-81.10322636,23.1,486
613,Blue,13.8,7.32,36.0,211.0,64.6,52.5,19.32788636,-81.10322636,23.1,486
614,Brown,14.7,8.44,25.0,206.0,64.1,77.7,19.32788636,-81.10322636,23.1,486
615,Blue,14.9,7.05,41.0,224.0,66.2,64.2,19.32788636,-81.10322636,23.1,486
616,Brown,15.1,8.17,29.0,208.0,71.5,56.9,19.32788636,-81.10322636,23.1,486
617,Green,15.0,7.12,11.0,215.0,69.6,63.2,19.32788636,-81.10322636,23.1,486
618,Green,14.7,7.25,8.0,222.0,73.4,60.6,19.32788636,-81.10322636,23.1,486
619,Brown,16.4,8.12,27.0,237.0,75.8,46.4,19.32788636,-81.10322636,23.1,486
620,Green,16.4,9.03,9.0,228.0,78.1,81.7,19.32788636,-81.10322636,23.1,486
621,Blue,15.5,8.97,34.0,229.0,71.4,82.6,19.32788636,-81.10322636,23.1,486
622,Brown,17.1,8.89,32.0,225.0,75.8,77.9,19.32788636,-81.10322636,23.1,486
623,Brown,14.0,6.66,28.0,223.0,65.5,57.2,19.32788636,-81.10322636,23.1,486
624,Brown,14.7,8.21,18.0,206.0,70.7,79.3,19.32788636,-81.10322636,23.1,486
625,Brown,17.1,8.3,23.0,217.0,78.5,50.3,19.32788636,-81.10322636,23.1,486
626,Brown,14.1,6.8,18.0,210.0,67.6,58.0,19.32788636,-81.10322636,23.1,486
627,Green,17.1,8.83,6.0,231.0,80.0,71.1,19.32788636,-81.10322636,23.1,486
628,Blue,15.0,6.41,31.0,227.0,67.7,52.8,19.32788636,-81.10322636,23.1,486
629,Green,15.6,7.09,2.0,231.0,73.5,51.2,19.32788636,-81.10322636,23.1,486
630,Brown,17.4,7.68,29.0,225.0,77.5,63.7,19.32788636,-81.10322636,23.1,486
631,Brown,15.8,7.9,18.0,234.0,69.3,67.4,19.32788636,-81.10322636,23.1,486
632,Blue,14.1,8.08,33.0,212.0,68.0,81.1,19.32788636,-81.10322636,23.1,486
633,Blue,15.1,8.27,38.0,226.0,75.3,73.9,19.32788636,-81.10322636,23.1,486
634,Blue,14.2,8.71,29.0,220.0,70.6,80.2,19.32788636,-81.10322636,23.1,486
635,Green,16.1,8.97,NA,225.0,NA,80.4,19.32788636,-81.10322636,23.1,486
