ID,Color,Limb,Mass,Diameter,Height,SVL,Tail,Latitude,Longitude,Temperature,Precipitation
636,Brown,12.4,6.46,21.0,104.0,57.2,53.3,19.35105,-81.09888,27.8,382
637,Green,11.5,6.76,16.0,96.0,50.7,62.3,19.35105,-81.09888,27.8,382
638,Green,15.0,7.54,12.0,105.0,69.0,71.2,19.35105,-81.09888,27.8,382
639,Green,11.9,5.66,9.0,91.0,54.0,41.4,19.35105,-81.09888,27.8,382
640,Brown,12.8,7.36,29.0,91.0,NA,48.9,19.35105,-81.09888,27.8,382
641,Green,11.6,6.15,11.0,90.0,58.1,48.8,19.35105,-81.09888,27.8,382
642,Blue,11.5,5.74,32.0,100.0,52.9,38.2,19.35105,-81.09888,27.8,382
643,Blue,9.8,5.82,36.0,82.0,45.6,54.7,19.35105,-81.09888,27.8,382
644,Green,12.5,5.78,16.0,99.0,57.5,46.6,19.35105,-81.09888,27.8,382
645,Green,11.9,6.86,17.0,91.0,58.6,59.2,19.35105,-81.09888,27.8,382
646,Brown,11.8,6.53,22.0,104.0,58.7,50.1,19.35105,-81.09888,27.8,382
647,Blue,12.0,6.98,20.0,92.0,53.1,47.4,19.35105,-81.09888,27.8,382
648,Blue,11.4,7.13,27.0,NA,50.7,59.7,19.35105,-81.09888,27.8,382
649,Green,12.2,5.77,16.0,90.0,53.1,40.4,19.35105,-81.09888,27.8,382
650,Blue,12.5,6.94,35.0,105.0,56.4,54.2,19.35105,-81.09888,27.8,382
651,Green,11.2,7.34,16.0,90.0,48.8,51.9,19.35105,-81.09888,27.8,382
652,Green,11.3,7.91,17.0,84.0,50.0,43.8,19.35105,-81.09888,27.8,382
653,Blue,11.1,6.57,31.0,82.0,52.9,50.6,19.35105,-81.09888,27.8,382
654,Blue,11.8,8.09,21.0,91.0,56.4,73.4,19.35105,-81.09888,27.8,382
655,Blue,10.3,5.97,29.0,83.0,48.1,42.4,19.35105,-81.09888,27.8,382
656,Brown,13.2,5.45,NA,105.0,62.0,42.7,19.35105,-81.09888,27.8,382
657,Brown,10.7,5.8,17.0,86.0,51.9,47.3,19.35105,-81.09888,27.8,382
658,Blue,11.7,6.35,34.0,102.0,52.3,50.5,19.35105,-81.09888,27.8,382
659,Green,11.7,6.3,9.0,86.0,52.3,57.6,19.35105,-81.09888,27.8,382
660,Blue,13.4,7.2,27.0,93.0,58.2,69.7,19.35105,-81.09888,27.8,382
661,Brown,11.5,6.47,21.0,89.0,56.6,65.7,19.35105,-81.09888,27.8,382
662,Blue,11.5,6.29,23.0,95.0,52.6,52.9,19.35105,-81.09888,27.8,382
663,Blue,10.1,6.94,23.0,86.0,49.7,66.5,19.35105,-81.09888,27.8,382
664,Green,13.4,7.44,11.0,94.0,61.5,71.9,19.35105,-81.09888,27.8,382
665,Blue,14.8,6.19,41.0,115.0,65.5,38.3,19.35105,-81.09888,27.8,382
666,Brown,NA,6.3,28.0,97.0,58.2,51.2,19.35105,-81.09888,27.8,382
667,Green,15.4,8.28,6.0,108.0,68.2,61.6,19.35105,-81.09888,27.8,382
668,Brown,12.9,7.98,27.0,103.0,56.6,73.8,19.35105,-81.09888,27.8,382
